,dow,dom,month,year,in_demand,out_demand,prev_holy,pos_holy
171,6,19,12,2014,627752047.0,629929152.0,0,0
172,7,20,12,2014,0.0,0.0,0,0
173,1,21,12,2014,0.0,0.0,0,0
174,2,22,12,2014,1112243414.0,1110467814.0,0,0
175,3,23,12,2014,479445715.0,346947115.0,0,0
176,4,24,12,2014,181593102.0,314487527.0,0,2
177,5,25,12,2014,0.0,0.0,0,0
178,6,26,12,2014,0.0,0.0,0,0
179,7,27,12,2014,0.0,0.0,0,0
180,1,28,12,2014,0.0,0.0,0,0
181,2,29,12,2014,805340036.0,805092621.0,2,0
182,3,30,12,2014,804461103.0,805778433.0,0,2
183,4,31,12,2014,0.0,0.0,0,0
184,5,1,1,2015,0.0,0.0,0,0
185,6,2,1,2015,613185371.0,612621531.0,2,0
186,7,3,1,2015,0.0,0.0,0,0
187,1,4,1,2015,0.0,0.0,0,0
188,2,5,1,2015,701504979.0,701116129.0,0,0
189,3,6,1,2015,415335674.0,415805314.0,0,0
190,4,7,1,2015,341460798.0,342306978.0,0,0
191,5,8,1,2015,382535968.0,382180948.0,0,0
192,6,9,1,2015,577713161.0,583400136.0,0,0
193,7,10,1,2015,0.0,0.0,0,0
194,1,11,1,2015,0.0,0.0,0,0
195,2,12,1,2015,663574013.0,664490663.0,0,0
196,3,13,1,2015,866873987.0,866912582.0,0,0
197,4,14,1,2015,548510493.0,548605213.0,0,0
198,5,15,1,2015,571792876.0,391100436.0,0,0
199,6,16,1,2015,491541122.0,673233322.0,0,0
200,7,17,1,2015,0.0,0.0,0,0
201,1,18,1,2015,0.0,0.0,0,0
202,2,19,1,2015,550558586.0,549632931.0,0,0
203,3,20,1,2015,520368017.0,519731497.0,0,0
204,4,21,1,2015,915450943.0,915381473.0,0,0
205,5,22,1,2015,525704757.0,526060172.0,0,0
206,6,23,1,2015,421126156.0,421678836.0,0,0
207,7,24,1,2015,0.0,0.0,0,0
208,1,25,1,2015,0.0,0.0,0,0
209,2,26,1,2015,386180092.0,385222292.0,0,0
210,3,27,1,2015,487689398.0,488656343.0,0,0
211,4,28,1,2015,326294086.0,325456846.0,0,0
212,5,29,1,2015,364997324.0,365292869.0,0,0
213,6,30,1,2015,521423413.0,521171463.0,0,0
214,7,31,1,2015,0.0,0.0,0,0
