,dow,dom,month,year,in_demand,out_demand,prev_holi,pos_holi
221,7,7,2,2015,0.0,0.0,0,0
222,1,8,2,2015,0.0,0.0,0,0
223,2,9,2,2015,4391141951.0,4241525540.0,0,0
224,3,10,2,2015,4869504748.0,4845293539.0,0,0
225,4,11,2,2015,4244524993.0,4048256001.0,0,0
226,5,12,2,2015,4333014861.0,4135961231.0,0,0
227,6,13,2,2015,4818328487.0,5288831042.0,0,2
228,7,14,2,2015,0.0,0.0,0,0
229,1,15,2,2015,0.0,0.0,0,0
230,2,16,2,2015,0.0,0.0,0,0
231,3,17,2,2015,0.0,0.0,0,0
232,4,18,2,2015,4754805115.0,4220788406.0,2,0
233,5,19,2,2015,4391801874.0,4843015513.0,0,1
234,6,20,2,2015,0.0,0.0,0,0
235,7,21,2,2015,0.0,0.0,0,0
236,1,22,2,2015,0.0,0.0,0,0
237,2,23,2,2015,4460285168.0,4478535493.0,1,0
238,3,24,2,2015,3597007303.0,3642923234.0,0,0
239,4,25,2,2015,3332415292.0,3216149438.0,0,0
240,5,26,2,2015,3111422423.0,3122033066.0,0,0
241,6,27,2,2015,3992797698.0,4467334174.0,0,0
242,7,28,2,2015,0.0,0.0,0,0
243,1,1,3,2015,0.0,0.0,0,0
244,2,2,3,2015,4919575107.0,4716181915.0,0,0
245,3,3,3,2015,3934623310.0,3927250871.0,0,0
246,4,4,3,2015,3760356540.0,3686618356.0,0,0
247,5,5,3,2015,3790206819.0,3805282979.0,0,0
248,6,6,3,2015,4348695718.0,4725531594.0,0,0
249,7,7,3,2015,0.0,0.0,0,0
250,1,8,3,2015,0.0,0.0,0,0
251,2,9,3,2015,5519563905.0,5016695602.0,0,0
252,3,10,3,2015,5244365283.0,5065082619.0,0,0
253,4,11,3,2015,3459043322.0,3561723934.0,0,0
254,5,12,3,2015,3898719629.0,4090831292.0,0,0
255,6,13,3,2015,4224392136.0,5044193594.0,0,0
256,7,14,3,2015,0.0,0.0,0,0
257,1,15,3,2015,0.0,0.0,0,0
258,2,16,3,2015,5329498945.0,4311400220.0,0,0
259,3,17,3,2015,3021070183.0,3012016211.0,0,0
260,4,18,3,2015,3174825470.0,3278707992.0,0,0
261,5,19,3,2015,2962864102.0,3034692131.0,0,0
262,6,20,3,2015,4376817975.0,4927618427.0,0,2
263,7,21,3,2015,0.0,0.0,0,0
264,1,22,3,2015,0.0,0.0,0,0
265,2,23,3,2015,0.0,0.0,0,0
266,3,24,3,2015,0.0,0.0,0,0
267,4,25,3,2015,5740400251.0,4876835697.0,2,0
268,5,26,3,2015,3150617111.0,3298426132.0,0,0
269,6,27,3,2015,3384293397.0,3820932782.0,0,0
270,7,28,3,2015,0.0,0.0,0,0
271,1,29,3,2015,0.0,0.0,0,0
272,2,30,3,2015,4643279508.0,4136254189.0,0,1
273,3,31,3,2015,0.0,0.0,0,0
274,4,1,4,2015,7423176936.0,7668440304.0,1,2
275,5,2,4,2015,0.0,0.0,0,0
276,6,3,4,2015,0.0,0.0,0,0
277,7,4,4,2015,0.0,0.0,0,0
278,1,5,4,2015,0.0,0.0,0,0
279,2,6,4,2015,6315454346.0,5935287808.0,2,0
280,3,7,4,2015,4038960660.0,4404188199.0,0,0
281,4,8,4,2015,4022528496.0,4135658616.0,0,0
282,5,9,4,2015,5015854272.0,5150865777.0,0,0
283,6,10,4,2015,5407150857.0,5568075463.0,0,0
284,7,11,4,2015,0.0,0.0,0,0
285,1,12,4,2015,0.0,0.0,0,0
286,2,13,4,2015,5462172587.0,5102819696.0,0,0
287,3,14,4,2015,4093935313.0,4043311845.0,0,0
288,4,15,4,2015,3498162800.0,3592923157.0,0,0
289,5,16,4,2015,3356545003.0,3331703952.0,0,0
290,6,17,4,2015,3517442778.0,3622135601.0,0,0
291,7,18,4,2015,0.0,0.0,0,0
292,1,19,4,2015,0.0,0.0,0,0
293,2,20,4,2015,6264124178.0,5650866970.0,0,0
294,3,21,4,2015,4369553447.0,4682952414.0,0,0
295,4,22,4,2015,4227518803.0,4175765595.0,0,0
