Fecha;MontoCierre
06/04/2016;10721681.54
07/04/2016;11727478.26
08/04/2016;11357253.57
11/04/2016;9748384.89
12/04/2016;11837275.71
13/04/2016;9059389.43
14/04/2016;10498985.18
15/04/2016;10105781.89
18/04/2016;12925276.9
19/04/2016;10257835.42
20/04/2016;6037243.81
21/04/2016;10309976.16
22/04/2016;9572519.44
25/04/2016;13574648.08
26/04/2016;10481790.31
27/04/2016;9263101.01
28/04/2016;11080896.23
29/04/2016;10720009.02
02/05/2016;15461777.09
03/05/2016;13119608.52
04/05/2016;15223958.98
05/05/2016;16241365.47
06/05/2016;6752870.97
09/05/2016;12788209.52
10/05/2016;11491060.62
11/05/2016;10769915.12
12/05/2016;11971460.72
13/05/2016;13315634.84
16/05/2016;13219138.87
17/05/2016;11270848.2
18/05/2016;11706384.52
19/05/2016;11214358.41
20/05/2016;9409077.36
23/05/2016;13347659.47
24/05/2016;9819260.46
26/05/2016;12365793.64
27/05/2016;10022861.55
30/05/2016;14762771.59
31/05/2016;13736268.21
01/06/2016;13992408.45
02/06/2016;14407802.75
03/06/2016;11622250.4
06/06/2016;13400874.35
07/06/2016;12804527.29
08/06/2016;10345750.02
09/06/2016;13394208.26
10/06/2016;9889944.53
13/06/2016;11472408.27
14/06/2016;11079875.73
15/06/2016;13986818.16
16/06/2016;7875529.73
21/06/2016;14358000.14
22/06/2016;9626356.85
23/06/2016;11721417.21
24/06/2016;9307997.42
27/06/2016;11055171.1
28/06/2016;12543399.14
29/06/2016;9126272.57
30/06/2016;12129287.78
01/07/2016;9307620.38
04/07/2016;14849203.84
05/07/2016;15491394.74
06/07/2016;13275018.7
07/07/2016;11061892.18
11/07/2016;9187836.67
12/07/2016;12465562.56
13/07/2016;10459410.93
14/07/2016;11354009.55
15/07/2016;10552387.07
18/07/2016;9873655.57
19/07/2016;8514149.7
