,in_demand,out_demand
448,406289271.0,407281731.0
449,484019118.0,483947318.0
450,480984907.0,480111907.0
451,563147231.0,564427191.0
452,0.0,0.0
453,0.0,0.0
454,822487873.0,821029223.0
455,611811452.0,613442337.0
456,603876738.0,603798343.0
457,678969703.0,677160453.0
458,616503959.0,615827459.0
459,0.0,0.0
460,0.0,0.0
461,1006828027.0,1008347577.0
462,1047983983.0,1048572058.0
463,1120313227.0,1119440452.0
464,743047965.0,745678128.0
465,637464705.0,636441625.0
466,0.0,0.0
467,0.0,0.0
468,0.0,0.0
469,754343081.0,754392711.0
470,1028418842.0,1029038817.0
471,705113875.0,704684725.0
472,615738397.0,615381622.0
473,0.0,0.0
474,0.0,0.0
475,682436575.0,682663435.0
476,721500719.0,721012614.0
477,467368743.0,467197493.0
478,503595132.0,503711417.0
479,633983620.0,633444445.0
480,0.0,0.0
481,0.0,0.0
482,426102326.0,426976196.0
483,330867853.0,330721553.0
484,552215717.0,552797167.0
485,456760477.0,457147477.0
486,1083224941.0,1083547296.0
487,0.0,0.0
488,0.0,0.0
489,723864435.0,723748770.0
490,732280811.0,730740286.0
491,560619307.0,562377132.0
492,1185602167.0,1185824117.0
493,0.0,0.0
494,0.0,0.0
495,0.0,0.0
496,767900363.0,765769113.0
497,757563694.0,756987719.0
498,569990050.0,569881475.0
499,540024375.0,533453590.0
500,1076418978.0,1080594663.0
501,0.0,0.0
502,0.0,0.0
503,1036183357.0,1037351907.0
504,816101845.0,814935495.0
505,729175830.0,728418105.0
506,743169233.0,746288988.0
507,805727305.0,807800345.0
508,0.0,0.0
509,0.0,0.0
510,643664304.0,640861534.0
511,757946782.0,755396532.0
512,3502194451.0,3504718151.0
513,655983151.0,657231226.0
514,0.0,0.0
515,0.0,0.0
516,0.0,0.0
517,1358868833.0,1355254238.0
518,947306494.0,944703279.0
519,696559847.0,696947457.0
520,759109430.0,761013390.0
521,972122617.0,972619982.0
522,0.0,0.0
523,0.0,0.0
524,0.0,0.0
525,0.0,0.0
526,1145575609.0,1138913459.0
527,571132961.0,575333061.0
528,779411532.0,783593312.0
529,0.0,0.0
530,0.0,0.0
531,964714622.0,962787778.0
532,651508221.0,653835846.0
533,714354673.0,713864068.0
534,473329386.0,476436791.0
535,1460974103.0,1462907373.0
536,0.0,0.0
537,0.0,0.0
538,1160078742.0,1155329522.0
539,1113889950.0,1115209300.0
540,735412117.0,735225617.0
541,461260222.0,456665422.0
542,0.0,0.0
543,0.0,0.0
544,0.0,0.0
545,797633745.0,805008585.0
546,1797952743.0,1797183943.0
547,1327698972.0,1328069727.0
548,153260454.0,153555549.0
549,0.0,0.0
550,0.0,0.0
551,0.0,0.0
552,1088589978.0,1086183988.0
553,733350736.0,732714636.0
554,715434115.0,712180505.0
555,607027535.0,612144345.0
556,1352004632.0,1353183722.0
557,0.0,0.0
558,0.0,0.0
559,1049751907.0,1049804282.0
560,650968292.0,648416487.0
561,665073560.0,664147895.0
562,795246985.0,799530740.0
563,739645962.0,739090342.0
564,0.0,0.0
565,0.0,0.0
566,1097744209.0,1097823379.0
567,512302608.0,511192988.0
568,853018321.0,854384471.0
