,dow,dom,month,prev_holy,pos_holy,minfl
344,4,10,6,0,0,2.248
345,5,11,6,0,0,2.248
346,6,12,6,0,0,2.248
347,7,13,6,0,0,2.248
348,1,14,6,0,0,2.248
349,2,15,6,0,0,2.248
350,3,16,6,0,0,2.248
351,4,17,6,0,0,2.248
352,5,18,6,0,0,2.248
353,6,19,6,0,0,2.248
354,7,20,6,0,0,2.248
355,1,21,6,0,0,2.248
356,2,22,6,0,0,2.248
357,3,23,6,0,0,2.248
358,4,24,6,0,0,2.248
359,5,25,6,0,0,2.248
360,6,26,6,0,0,2.248
361,7,27,6,0,0,2.248
362,1,28,6,0,0,2.248
363,2,29,6,0,0,2.248
364,3,30,6,0,0,2.248
365,4,1,7,0,0,2.218
366,5,2,7,0,0,2.218
367,6,3,7,0,0,2.218
368,7,4,7,0,0,2.218
369,1,5,7,0,0,2.218
370,2,6,7,0,0,2.218
371,3,7,7,0,0,2.218
372,4,8,7,0,1,2.218
373,5,9,7,0,0,2.218
374,6,10,7,1,0,2.218
375,7,11,7,0,0,2.218
376,1,12,7,0,0,2.218
377,2,13,7,0,0,2.218
378,3,14,7,0,0,2.218
379,4,15,7,0,0,2.218
380,5,16,7,0,0,2.218
381,6,17,7,0,0,2.218
382,7,18,7,0,0,2.218
383,1,19,7,0,0,2.218
384,2,20,7,0,0,2.218
385,3,21,7,0,0,2.218
386,4,22,7,0,0,2.218
387,5,23,7,0,0,2.218
388,6,24,7,0,0,2.218
389,7,25,7,0,0,2.218
390,1,26,7,0,0,2.218
391,2,27,7,0,0,2.218
392,3,28,7,0,0,2.218
393,4,29,7,0,0,2.218
394,5,30,7,0,0,2.218
395,6,31,7,0,0,2.218
396,7,1,8,0,0,2.097
397,1,2,8,0,0,2.097
398,2,3,8,0,0,2.097
399,3,4,8,0,0,2.097
400,4,5,8,0,0,2.097
401,5,6,8,0,0,2.097
402,6,7,8,0,0,2.097
403,7,8,8,0,0,2.097
404,1,9,8,0,0,2.097
405,2,10,8,0,0,2.097
406,3,11,8,0,0,2.097
407,4,12,8,0,0,2.097
408,5,13,8,0,0,2.097
409,6,14,8,0,1,2.097
410,7,15,8,0,0,2.097
411,1,16,8,0,0,2.097
412,2,17,8,0,0,2.097
413,3,18,8,1,0,2.097
414,4,19,8,0,0,2.097
415,5,20,8,0,0,2.097
416,6,21,8,0,0,2.097
417,7,22,8,0,0,2.097
418,1,23,8,0,0,2.097
419,2,24,8,0,0,2.097
420,3,25,8,0,0,2.097
421,4,26,8,0,0,2.097
422,5,27,8,0,0,2.097
423,6,28,8,0,0,2.097
424,7,29,8,0,0,2.097
425,1,30,8,0,0,2.097
426,2,31,8,0,0,2.097
427,3,1,9,0,0,1.72
428,4,2,9,0,0,1.72
429,5,3,9,0,0,1.72
430,6,4,9,0,0,1.72
431,7,5,9,0,0,1.72
432,1,6,9,0,0,1.72
433,2,7,9,0,0,1.72
434,3,8,9,0,0,1.72
435,4,9,9,0,0,1.72
436,5,10,9,0,0,1.72
437,6,11,9,0,0,1.72
438,7,12,9,0,0,1.72
439,1,13,9,0,0,1.72
440,2,14,9,0,0,1.72
441,3,15,9,0,0,1.72
442,4,16,9,0,0,1.72
