"fecha";"dia_semana";"dia";"mes";"anio";"entradas";"salidas"
Apr 6 2015 12:00AM;2;6;4;2015;1598977399.0;1598651669.0
Apr 7 2015 12:00AM;3;7;4;2015;1181757288.0;1180935868.0
Apr 8 2015 12:00AM;4;8;4;2015;907313880.0;908700779.0
Apr 9 2015 12:00AM;5;9;4;2015;987414606.0;988109622.0
Apr 10 2015 12:00AM;6;10;4;2015;1083852194.0;1082236354.0
Apr 13 2015 12:00AM;2;13;4;2015;1260291970.0;1262835397.0
Apr 14 2015 12:00AM;3;14;4;2015;887893704.0;889835976.0
Apr 15 2015 12:00AM;4;15;4;2015;806374194.0;805811514.0
Apr 16 2015 12:00AM;5;16;4;2015;952990385.0;951631205.0
Apr 17 2015 12:00AM;6;17;4;2015;797267625.0;798576565.0
Apr 20 2015 12:00AM;2;20;4;2015;1173687211.0;1173208821.0
Apr 21 2015 12:00AM;3;21;4;2015;858449381.0;858362476.0
Apr 22 2015 12:00AM;4;22;4;2015;758511600.0;758712145.0
Apr 23 2015 12:00AM;5;23;4;2015;803542997.0;804681017.0
Apr 24 2015 12:00AM;6;24;4;2015;662088181.0;662679816.0
Apr 27 2015 12:00AM;2;27;4;2015;1409307484.0;1409303769.0
Apr 28 2015 12:00AM;3;28;4;2015;802172642.0;801697492.0
Apr 29 2015 12:00AM;4;29;4;2015;826052737.0;825156562.0
Apr 30 2015 12:00AM;5;30;4;2015;1035636978.0;1035391443.0
May 4 2015 12:00AM;2;4;5;2015;1365772459.0;1366458362.0
May 5 2015 12:00AM;3;5;5;2015;1075685732.0;1073842219.0
May 6 2015 12:00AM;4;6;5;2015;1072547514.0;1074730204.0
May 7 2015 12:00AM;5;7;5;2015;964621821.0;963764446.0
May 8 2015 12:00AM;6;8;5;2015;874903254.0;875343949.0
May 11 2015 12:00AM;2;11;5;2015;1202697226.0;1202782844.0
May 12 2015 12:00AM;3;12;5;2015;491758876.0;492712352.0
May 13 2015 12:00AM;4;13;5;2015;983170440.0;982815982.0
May 14 2015 12:00AM;5;14;5;2015;897925731.0;896645304.0
May 15 2015 12:00AM;6;15;5;2015;833611483.0;835077148.0
May 18 2015 12:00AM;2;18;5;2015;1159217855.0;1160878687.0
May 19 2015 12:00AM;3;19;5;2015;777588191.0;779423065.0
May 20 2015 12:00AM;4;20;5;2015;760769135.0;759951735.0
May 21 2015 12:00AM;5;21;5;2015;688627570.0;687856880.0
