,DATE,CASHD,ATMD,HOLIDAY
225,2015-10-12,0,4941000,1
226,2015-10-13,-13080790,859850,0
227,2015-10-14,-5343744,2728000,0
228,2015-10-15,-5097673,1893800,0
229,2015-10-16,-3752841,4302500,0
230,2015-10-17,0,4302500,1
231,2015-10-18,0,4302500,1
232,2015-10-19,-8980585,1599850,0
233,2015-10-20,-4272758,857000,0
234,2015-10-21,-3489208,1702700,0
235,2015-10-22,-3647161,1220950,0
236,2015-10-23,-5163832,2461550,0
237,2015-10-24,0,2461550,1
238,2015-10-25,0,2461550,1
239,2015-10-26,-5910827,1080800,0
240,2015-10-27,-3788635,648950,0
241,2015-10-28,-2570067,1457350,0
242,2015-10-29,-4558186,1108650,0
243,2015-10-30,-1964894,9395000,0
244,2015-10-31,0,9395000,1
245,2015-11-01,0,9395000,1
246,2015-11-02,0,3000800,1
247,2015-11-03,-2963770,1831000,0
248,2015-11-04,-3168789,3458200,0
249,2015-11-05,-4246308,9368250,0
250,2015-11-06,0,9368250,1
251,2015-11-07,0,9368250,1
252,2015-11-08,0,9368250,1
253,2015-11-09,-11863845,2600050,0
254,2015-11-10,-6180904,1411550,0
255,2015-11-11,-5384912,2815250,0
256,2015-11-12,-6010916,1927400,0
257,2015-11-13,-6246328,3174100,0
258,2015-11-14,0,3174100,1
259,2015-11-15,0,3174100,1
260,2015-11-16,-9038521,1521200,0
261,2015-11-17,-6190270,1038600,0
262,2015-11-18,-4708322,2380550,0
263,2015-11-19,-4676238,1424200,0
264,2015-11-20,-4144061,3690200,0
265,2015-11-21,0,3690200,1
266,2015-11-22,0,3690200,1
267,2015-11-23,-7770758,1240650,0
268,2015-11-24,-3913273,797250,0
269,2015-11-25,-3794260,1479150,0
270,2015-11-26,-3662743,9229400,0
271,2015-11-27,0,9229400,1
272,2015-11-28,0,9229400,1
273,2015-11-29,0,9229400,1
274,2015-11-30,-7270808,3893200,0
275,2015-12-01,-4002209,2572800,0
276,2015-12-02,-3543009,4992950,0
277,2015-12-03,-3420252,4646300,0
278,2015-12-04,-4939574,13189900,0
279,2015-12-05,0,13189900,1
280,2015-12-06,0,13189900,1
281,2015-12-07,0,13189900,1
282,2015-12-08,0,13189900,1
283,2015-12-09,-11942282,1683650,0
284,2015-12-10,-8016477,4326800,0
285,2015-12-11,-6393738,4705500,0
286,2015-12-12,0,4705500,1
287,2015-12-13,0,4705500,1
288,2015-12-14,-10230038,1670600,0
289,2015-12-15,-6062317,1370100,0
290,2015-12-16,-6712458,3386500,0
291,2015-12-17,-5021611,2679900,0
292,2015-12-18,-5362702,6392250,0
293,2015-12-19,0,6392250,1
294,2015-12-20,0,6392250,1
295,2015-12-21,-7939393,4967400,0
296,2015-12-22,-4719370,3907500,0
297,2015-12-23,-4441737,0,0
298,2015-12-24,-4131250,0,0
299,2015-12-25,0,7839950,1
300,2015-12-26,0,7839950,1
301,2015-12-27,0,7839950,1
302,2015-12-28,-9831249,1677700,0
303,2015-12-29,-6420900,1158650,0
304,2015-12-30,-4112362,0,0
305,2015-12-31,-690421,0,0
306,2016-01-01,0,12677650,1
307,2016-01-02,0,12677650,1
308,2016-01-03,0,12677650,1
309,2016-01-04,-8503104,3062850,0
310,2016-01-05,-5470492,2985450,0
311,2016-01-06,-4991087,1638600,0
312,2016-01-07,-5604523,4362500,0
313,2016-01-08,-5275014,6088950,0
314,2016-01-09,0,6088950,1
315,2016-01-10,0,6088950,1
316,2016-01-11,-13743223,2259850,0
317,2016-01-12,-5359541,1355300,0
318,2016-01-13,-7254717,3184500,0
319,2016-01-14,-6785755,2091350,0
320,2016-01-15,-6338286,3777200,0
321,2016-01-16,0,3777200,1
322,2016-01-17,0,3777200,1
323,2016-01-18,-10725930,1665700,0
324,2016-01-19,-6179691,936650,0
325,2016-01-20,-5035482,2387500,0
326,2016-01-21,-6792574,1631050,0
327,2016-01-22,-4571876,2661950,0
328,2016-01-23,0,2661950,1
329,2016-01-24,0,2661950,1
330,2016-01-25,-8838426,1305000,0
331,2016-01-26,-4002103,774950,0
332,2016-01-27,-3471087,1651150,0
333,2016-01-28,-4236101,1842750,0
334,2016-01-29,-3064532,9348400,0
335,2016-01-30,0,9348400,1
336,2016-01-31,0,9348400,1
337,2016-02-01,-8781444,3139750,0
338,2016-02-02,-4948478,1674750,0
339,2016-02-03,-5643553,3509750,0
340,2016-02-04,-4445740,3453050,0
341,2016-02-05,-5275763,8402850,0
342,2016-02-06,0,8402850,1
343,2016-02-07,0,8402850,1
344,2016-02-08,0,8402850,1
345,2016-02-09,0,8402850,1
346,2016-02-10,-18687553,1326350,0
347,2016-02-11,-6558411,2979350,0
348,2016-02-12,-7288168,4167250,0
349,2016-02-13,0,4167250,1
350,2016-02-14,0,4167250,1
351,2016-02-15,-10000955,1856400,0
352,2016-02-16,-6172859,1110850,0
353,2016-02-17,-4516246,2446200,0
354,2016-02-18,-4965325,1745200,0
355,2016-02-19,-5120859,3247450,0
