,dom,month,year,balance
269,27,3,2015,16139811.41
270,28,3,2015,21058122.89808989
271,29,3,2015,21058122.89808989
272,30,3,2015,21275186.6
273,31,3,2015,21275186.6
274,1,4,2015,18912677.92
275,2,4,2015,21048668.104861878
276,3,4,2015,21048668.104861878
277,4,4,2015,21048668.104861878
278,5,4,2015,21048668.104861878
279,6,4,2015,22877084.3
280,7,4,2015,20716788.91
281,8,4,2015,18359370.71
282,9,4,2015,16298087.66
283,10,4,2015,14562338.6
284,11,4,2015,20981841.92021505
285,12,4,2015,20981841.92021505
286,13,4,2015,21450049.51
287,14,4,2015,23414732.19
288,15,4,2015,17817322.62
289,16,4,2015,18229998.13
290,17,4,2015,18297118.9
291,18,4,2015,20951999.049790576
292,19,4,2015,20951999.049790576
293,20,4,2015,24847903.98
294,21,4,2015,28921529.31
295,22,4,2015,23384454.39
296,23,4,2015,23342351.87
297,24,4,2015,17033502.09
298,25,4,2015,21017150.817091838
299,26,4,2015,21017150.817091838
300,27,4,2015,27572668.91
301,28,4,2015,24014775.0
302,29,4,2015,23177752.58
303,30,4,2015,13098690.07
304,1,5,2015,21036127.23355
305,2,5,2015,21036127.23355
306,3,5,2015,21036127.23355
307,4,5,2015,16768809.41
308,5,5,2015,21106743.14
309,6,5,2015,20629171.6
310,7,5,2015,19235749.3
311,8,5,2015,18775100.28
312,9,5,2015,20993858.63629268
313,10,5,2015,20993858.63629268
314,11,5,2015,19722895.65
315,12,5,2015,22903056.4
316,13,5,2015,15684812.78
317,14,5,2015,14782410.46
318,15,5,2015,14892362.92
319,16,5,2015,20912983.612619042
320,17,5,2015,20912983.612619042
321,18,5,2015,17001801.24
322,19,5,2015,16121303.82
323,20,5,2015,15324999.91
324,21,5,2015,18347388.72
325,22,5,2015,17340052.53
326,23,5,2015,20817963.278465107
327,24,5,2015,20817963.278465107
328,25,5,2015,20817963.278465107
329,26,5,2015,24315674.28
330,27,5,2015,21814452.83
331,28,5,2015,25994423.77
332,29,5,2015,20437720.92
333,30,5,2015,20860385.281598166
334,31,5,2015,20860385.281598166
335,1,6,2015,25268809.56
336,2,6,2015,20937919.68
337,3,6,2015,17248882.54
338,4,6,2015,16826971.72
339,5,6,2015,14437810.22
340,6,6,2015,20817610.582098212
341,7,6,2015,20817610.582098212
342,8,6,2015,24179491.77
343,9,6,2015,21757572.28
344,10,6,2015,16014482.5
345,11,6,2015,19746107.3
346,12,6,2015,15407939.89
347,13,6,2015,20787119.494017467
348,14,6,2015,20787119.494017467
349,15,6,2015,20569470.51
350,16,6,2015,18277837.15
351,17,6,2015,20775314.596493505
352,18,6,2015,17806102.81
353,19,6,2015,15476311.75
354,20,6,2015,20739828.696781117
355,21,6,2015,20739828.696781117
356,22,6,2015,18362531.66
357,23,6,2015,17740613.15
358,24,6,2015,21580702.15
359,25,6,2015,18759455.86
360,26,6,2015,20141962.17
361,27,6,2015,20709938.4510084
362,28,6,2015,20709938.4510084
363,29,6,2015,18222706.87
364,30,6,2015,20406376.41
365,1,7,2015,17447289.37
366,2,7,2015,16528961.84
367,3,7,2015,17724963.73
368,4,7,2015,20655537.65251028
369,5,7,2015,20655537.65251028
370,6,7,2015,26560619.64
371,7,7,2015,26100050.8
372,8,7,2015,27009396.91
373,9,7,2015,20727502.91426829
374,10,7,2015,19048177.25
375,11,7,2015,20720704.024939265
376,12,7,2015,20720704.024939265
377,13,7,2015,29817931.3
378,14,7,2015,28817122.05
379,15,7,2015,21046147.16
380,16,7,2015,19801572.38
381,17,7,2015,17735183.57
382,18,7,2015,20774729.565952376
383,19,7,2015,20774729.565952376
384,20,7,2015,18287469.28
385,21,7,2015,17718724.14
386,22,7,2015,16750237.3
387,23,7,2015,17379214.29
388,24,7,2015,16741579.89
389,25,7,2015,20708595.624591436
390,26,7,2015,20708595.624591436
391,27,7,2015,17708139.92
392,28,7,2015,15942022.32
393,29,7,2015,14021143.49
394,30,7,2015,13564750.67
395,31,7,2015,13682208.01
396,1,8,2015,20599340.992099233
397,2,8,2015,20599340.992099233
398,3,8,2015,17379411.92
399,4,8,2015,12812489.61
400,5,8,2015,12912721.05
401,6,8,2015,15683524.88
402,7,8,2015,16877836.92
403,8,8,2015,20496978.742734082
404,9,8,2015,20496978.742734082
405,10,8,2015,18300266.5
406,11,8,2015,12901303.6
407,12,8,2015,14651009.77
408,13,8,2015,15466224.56
409,14,8,2015,12201027.45
410,15,8,2015,20390489.544816177
411,16,8,2015,20390489.544816177
412,17,8,2015,20390489.544816177
413,18,8,2015,15144886.84
414,19,8,2015,12574392.95
415,20,8,2015,8693802.38
416,21,8,2015,9530728.36
417,22,8,2015,20261438.285217393
418,23,8,2015,20261438.285217393
419,24,8,2015,17828189.86
420,25,8,2015,12317390.11
421,26,8,2015,12189590.4
422,27,8,2015,11832638.37
423,28,8,2015,8724296.87
424,29,8,2015,20124729.79476868
425,30,8,2015,20124729.79476868
426,31,8,2015,14821520.12
427,1,9,2015,10304575.33
428,2,9,2015,7105329.05
429,3,9,2015,14079291.8
430,4,9,2015,14206885.79
431,5,9,2015,19984498.86160839
432,6,9,2015,19984498.86160839
433,7,9,2015,17691448.37
434,8,9,2015,14075397.21
435,9,9,2015,17295370.0
436,10,9,2015,16581549.85
437,11,9,2015,13044283.63
438,12,9,2015,19911528.259381443
439,13,9,2015,19911528.259381443
440,14,9,2015,17743455.88
441,15,9,2015,19904103.353972603
442,16,9,2015,15446410.58
443,17,9,2015,17993028.03
444,18,9,2015,11172367.57
445,19,9,2015,19852915.205220334
446,20,9,2015,19852915.205220334
447,21,9,2015,15249131.88
448,22,9,2015,13680273.79
449,23,9,2015,14251821.71
450,24,9,2015,12282195.86
451,25,9,2015,9216762.01
452,26,9,2015,19737633.90263333
453,27,9,2015,19737633.90263333
454,28,9,2015,13791586.35
455,29,9,2015,19104352.88
456,30,9,2015,13799921.02
457,1,10,2015,14314152.73
458,2,10,2015,6445068.72
459,3,10,2015,19635230.336032785
460,4,10,2015,19635230.336032785
461,5,10,2015,13409211.99
462,6,10,2015,14559866.05
